Country,Continent,Adolescent fertility rate (births per 1000 women ages 15-19),Agricultural land (sq. km),Aid per capita (current US$),Air transport passengers carried,Arable land (hectares),Average number of times firms spent in meetings with tax officials,Average time to clear exports through customs (days),Birth rate crude (per 1000 people),Death rate crude (per 1000 people),Electric power consumption (kWh),Fertility rate total (births per woman),Forest area (sq. km),GDP (constant 2000 US$),Health expenditure per capita (current US$),Hospital beds (per 1000 people),Immunization DPT (% of children ages 12-23 months),Inflation consumer prices (annual %),Internet users (per 100 people),Land area (sq. km),Life expectancy at birth female (years),Life expectancy at birth male (years),Life expectancy at birth total (years),Literacy rate adult total (% of people ages 15 and above),Low-birthweight babies (% of births),Military expenditure (% of GDP),Mortality rate adult female (per 1000 female adults),Mortality rate adult male (per 1000 male adults),Mortality rate infant (per 1000 live births),Personal computers (per 100 people),Physicians (per 1000 people),Population growth (annual %),Population total,Population female (% of total),Prevalence of HIV total (% of population ages 15-49),Prevalence of overweight (% of children under 5),Ratio of female to male primary enrollment,Ratio of female to male secondary enrollment,Roads total network (km),Smoking prevalence females (% of adults),Smoking prevalence males (% of adults),Surface area (sq. km),Tax revenue (% of GDP)
St.Lucia,Latin America & Caribbean,61,200,64,NA,4000,NA,NA,14,7,NA,2,170,762979264,323,3,95,4,NA,610,76,72,74,NA,NA,NA,126,158,13,NA,NA,1,164791,50,NA,NA,97,121,NA,NA,NA,620,NA
St.VincentandtheGrenadines,Latin America & Caribbean,66,100,37,NA,5000,NA,NA,20,7,NA,2,110,389795104,218,NA,99,4,8,390,73,69,71,NA,NA,NA,110,163,17,14,NA,1,119137,50,NA,NA,90,124,NA,NA,NA,390,NA
Sudan,Sub-Saharan Africa,62,1368370,50,510977,19434000,NA,NA,33,11,3478000000,4,675460,1.69E+10,29,NA,78,9,8,2376000,59,56,58,NA,NA,NA,275,316,62,9,NA,2,36899747,50,2,NA,87,94,NA,NA,NA,2505810,NA
Suriname,Latin America & Caribbean,42,910,97,315410,60000,NA,NA,20,7,NA,2,147760,1181892224,209,NA,83,10,7,156000,73,67,70,NA,NA,NA,126,236,30,4,NA,1,452468,50,2,NA,101,133,NA,NA,NA,163270,NA
Swaziland,Sub-Saharan Africa,35,13920,41,NA,178000,NA,NA,34,20,NA,4,5410,1561608064,146,NA,71,5,4,17200,41,42,41,NA,NA,NA,694,728,110,4,NA,1,1131000,52,33,NA,93,100,NA,NA,NA,17360,NA
Sweden,Europe,5,32190,NA,NA,2703000,NA,NA,10,10,1.39E+11,2,275280,2.72E+11,3598,NA,99,0,76,410330,83,78,81,NA,NA,2,51,80,3,84,NA,0,9024040,49,0,NA,100,99,425383,NA,NA,450290,21
Switzerland,Europe,5,15250,NA,9662619,410000,NA,NA,10,8,6.18E+10,1,12210,2.60E+11,5694,NA,94,1,51,40000,84,79,81,NA,NA,1,46,84,4,86,NA,1,7437100,50,0,NA,99,95,71296,NA,NA,41280,10
SyrianArabRepublic,Middle East & North Africa,40,140080,4,1239825,4873000,NA,NA,27,3,2.67E+10,3,4610,2.38E+10,61,NA,99,7,6,183780,76,72,74,NA,NA,5,87,129,13,4,NA,3,18893881,49,0,NA,95,94,NA,NA,NA,185180,NA
Tajikistan,Asia,29,42550,38,479172,930000,3,5,28,7,1.48E+10,4,4100,1532285056,18,6,85,NA,0,139960,69,64,66,NA,10,NA,142,214,59,1,NA,1,6550213,50,0,NA,96,83,NA,NA,NA,142550,NA
Tanzania,Sub-Saharan Africa,125,343500,38,257223,9200000,NA,NA,40,14,2355000000,5,352570,1.25E+10,17,NA,90,9,1,885800,52,50,51,NA,10,1,423,456,76,1,NA,3,38477873,50,6,5,96,NA,NA,NA,NA,947300,NA
Thailand,Asia,43,186000,-3,18902629,14200000,NA,NA,15,9,1.25E+11,2,145200,1.57E+11,98,NA,98,5,12,510890,75,65,70,NA,NA,1,165,288,8,7,NA,1,63002911,51,1,NA,99,107,NA,NA,NA,513120,17
TimorLeste,Asia,58,3400,189,NA,122000,NA,NA,51,15,NA,7,7980,331100000,45,NA,55,NA,NA,14870,58,56,57,NA,NA,NA,242,277,52,NA,NA,5,975539,49,0,NA,92,100,NA,NA,NA,14870,NA
Togo,Sub-Saharan Africa,95,36300,13,NA,2490000,NA,NA,38,10,587000000,5,3860,1479506432,18,1,82,7,5,54390,60,56,58,NA,NA,2,233,282,70,3,NA,3,6238572,50,3,NA,85,51,NA,NA,NA,56790,14
Tonga,Pacific,18,300,320,NA,15000,NA,NA,25,6,NA,4,40,166635104,104,NA,99,8,3,720,74,72,73,NA,NA,NA,120,147,20,6,NA,0,99361,49,NA,NA,96,NA,NA,NA,NA,750,NA
TrinidadandTobago,Latin America & Caribbean,35,1330,-2,1055106,75000,NA,NA,15,8,6669000000,2,2260,1.23E+10,513,NA,95,7,12,5130,71,67,69,NA,NA,NA,192,246,32,10,NA,0,1323722,51,3,NA,98,105,NA,NA,NA,5130,28
Tunisia,Middle East & North Africa,7,97690,36,1996699,2729000,NA,NA,17,6,1.20E+10,2,10560,2.42E+10,158,NA,98,2,10,155360,76,72,73,NA,NA,2,74,128,20,6,NA,1,10029000,49,0,NA,97,110,NA,NA,NA,163610,21
Turkey,Middle East & North Africa,41,412230,6,16943828,23830000,2,4,19,6,1.37E+11,2,101750,2.47E+11,383,3,90,10,16,769630,74,69,71,NA,NA,3,89,156,26,6,1,1,72065000,49,0,NA,95,82,426914,NA,NA,783560,NA
Turkmenistan,Asia,16,330650,6,1653638,2300000,NA,NA,22,8,8368000000,3,41270,NA,156,NA,99,NA,1,469930,67,59,63,NA,NA,NA,146,302,47,7,NA,1,4833266,51,0,NA,NA,NA,NA,NA,NA,488100,NA
Uganda,Sub-Saharan Africa,160,127120,41,49368,5400000,NA,NA,47,14,NA,7,36270,7794889216,22,NA,84,8,2,197100,51,49,50,NA,NA,2,450,462,79,1,NA,3,28947181,50,6,NA,100,81,NA,NA,NA,241040,12
Ukraine,Europe,29,413040,8,2512910,32452000,5,5,9,17,1.53E+11,1,95750,4.53E+10,128,9,96,14,10,579380,74,62,68,NA,4,2,131,375,20,4,NA,-1,47105150,54,1,NA,100,NA,169323,NA,NA,603550,17
UnitedArabEmirates,Middle East & North Africa,20,5600,NA,NA,64000,NA,NA,16,1,5.63E+10,2,3120,1.04E+11,833,NA,94,NA,32,83600,82,77,79,NA,NA,2,51,77,8,26,NA,4,4104291,32,0,NA,99,101,NA,NA,NA,83600,NA
UnitedKingdom,Europe,25,169560,NA,93602879,5729000,NA,NA,12,10,3.77E+11,2,28450,1.63E+12,3064,NA,91,3,53,241930,81,77,79,NA,NA,3,57,91,5,76,NA,1,60226500,50,0,NA,100,103,388008,NA,NA,243610,28
UnitedStates,North America,43,4147780,NA,720547738,174448000,NA,NA,14,8,4.05E+12,2,3030890,1.10E+13,6657,NA,96,3,67,9161920,81,75,78,NA,NA,4,NA,NA,7,NA,NA,1,296507000,50,1,NA,99,102,6544257,NA,NA,9632030,11
Uruguay,Latin America & Caribbean,62,149550,4,586458,1370000,NA,NA,15,9,6635000000,2,15060,2.16E+10,404,2,96,5,20,175020,79,72,76,NA,NA,1,70,148,12,14,NA,0,3305723,51,0,NA,NA,NA,NA,NA,NA,176220,19
Uzbekistan,Asia,35,278900,6,1639276,4700000,3,5,20,6,4.34E+10,2,32950,1.79E+10,26,5,99,NA,3,425400,71,64,67,NA,NA,NA,139,244,40,3,3,1,26167369,50,0,NA,NA,NA,NA,NA,NA,447400,NA
Vanuatu,Pacific,47,1470,183,112254,20000,NA,NA,30,5,NA,4,4400,255499728,67,NA,66,1,3,12190,71,68,69,NA,NA,NA,132,180,31,1,NA,3,215366,49,NA,NA,98,NA,NA,NA,NA,12190,NA
Venezuela,Latin America & Caribbean,91,216900,2,5043028,2650000,NA,NA,22,5,7.57E+10,3,477130,1.33E+11,247,NA,87,16,13,882050,77,71,74,NA,NA,1,98,183,18,9,NA,2,26577000,50,1,NA,98,113,NA,NA,NA,912050,16
Vietnam,Asia,19,95920,23,5453683,6600000,2,5,18,5,4.76E+10,2,129310,4.48E+10,37,NA,95,8,13,310070,73,68,71,NA,NA,NA,95,142,16,1,NA,1,83104900,50,0,NA,94,98,NA,NA,NA,329310,NA
VirginIslands(U.S.),Latin America & Caribbean,34,60,NA,NA,2000,NA,NA,14,6,NA,2,100,NA,NA,NA,NA,NA,28,350,80,77,79,NA,NA,NA,47,104,NA,3,NA,0,108708,52,NA,NA,NA,NA,NA,NA,NA,350,NA
WestBankandGaza,Middle East & North Africa,85,3720,308,NA,107000,NA,NA,33,4,NA,5,90,3775940864,NA,NA,NA,3,7,6020,76,71,73,NA,NA,NA,97,134,21,5,NA,3,3626000,49,NA,NA,99,105,4996,NA,NA,6020,NA
Yemen,Middle East & North Africa,74,177150,16,1083404,1515000,NA,NA,39,8,3666000000,6,5490,1.15E+10,39,1,86,12,1,527970,63,60,62,NA,NA,6,215,264,76,2,NA,3,21095679,49,0,NA,74,49,71300,NA,NA,527970,NA
Zambia,Sub-Saharan Africa,134,257390,81,53880,5260000,NA,NA,40,20,8278000000,5,424520,4088727552,36,NA,80,18,3,743390,41,41,41,NA,NA,NA,645,651,102,1,NA,2,11478317,50,17,NA,95,82,NA,NA,NA,752610,17
Zimbabwe,Sub-Saharan Africa,64,156100,29,243022,3220000,NA,NA,28,19,1.25E+10,4,175400,5618106880,21,NA,90,302,8,386850,41,43,42,NA,NA,0,739,724,68,6,NA,1,13119679,50,20,NA,NA,NA,NA,NA,NA,390760,NA
