protein-IDs,length
4DM5,412
1R6J,82
2QGZ,308
3X30,227
4YWJ,552
3HW2,441
3UDF,1462
4O6Y,460
5CKW,902
3IAC,1419
3LAA,200
4P5N,154
4BC3,1614
4HI8,251
3ES5,840
5AFO,724
3CJS,203
1CDY,178
1ROC,155
2AIB,196
3D40,286
1T33,448
2B1E,564
1ZTC,884
1R0D,1648
3KS3,260
3NKS,477
4MM2,828
2P5K,64
1M32,2196
4WX0,526
4XEK,158
3HHY,280
3M73,314
1PKP,150
3OOX,624
3IBW,176
3QK7,882
3CIN,394
5EIP,268
3L4C,440
4MAA,403
5COT,340
1T4A,168
3CWC,766
3CBW,706
1BCO,327
4CZG,348
4FPW,362
3D1B,372
2I46,322
3IRA,173
3RC1,350
3OSV,552
3IQU,242
4CGY,973
2AEF,468
4D9I,796
3BH0,315
1ZWW,512
4AK2,288
1NWZ,125
2B4A,138
2GS8,317
1XWV,258
2VFK,205
4CYB,2076
2EFK,301
3FEF,1800
4ZA9,508
4DVC,184
4HNO,288
1W23,720
5C4Y,368
4LDV,362
2YOR,650
2ESS,248
2I06,309
4B0E,544
3D3S,756
4QP5,280
3S5J,652
4P5E,304
4RXX,430
2VPV,332
4FCZ,446
3FB9,180
4PW1,504
3N7C,260
5D1R,478
3M6J,580
3LUI,345
1I27,73
3EEH,125
4OFA,192
4PT7,544
4KRU,229
2FGT,417
2PW6,271
3IPN,126
3U02,1008
4RML,321
4RP3,196
3G0K,148
3OW8,1284
3IMO,532
5FJZ,1116
2VFR,422
3SHQ,320
1P1M,406
2I5U,83
1S48,609
5.00E+56,117
4CS4,274
3EQN,1516
2R8W,664
2WQF,202
4B21,232
3MYX,476
2.00E+12,202
1U9L,147
2Q6K,283
1YW4,682
2H8E,120
1URJ,2272
4MU9,728
4H3V,780
3G36,220
1WWP,238
3E5T,244
4XZ7,798
1E7L,314
2XMJ,128
3GON,335
4YI8,201
1JY1,464
3HOI,193
3HFH,380
1U7L,392
2ZY4,3276
4DZ1,259
4L07,416
3RFE,260
2BWR,802
1JR2,572
2GRV,1863
3JYZ,150
5DLB,315
3FCH,562
3Q23,2236
2YZY,200
3LYS,672
4CCV,115
4ME9,378
1VL1,232
3D7A,276
1IQ4,358
4ZEV,592
2BSY,278
4CZ8,844
4Z92,776
1QHX,178
1L6R,454
3LYW,90
5IR0,322
4PKM,309
3ZOJ,279
2R2D,1656
1L9L,74
3ZQS,372
2Q40,367
4IFQ,970
1Q08,198
1QEX,576
4RXJ,113
1JFU,372
5A6W,243
4PMK,378
4YS4,365
3SMV,240
3E0J,2480
3WQO,586
2BF6,449
3NPP,174
4C0F,468
4KDW,123
5IN3,802
3NPE,529
4QM9,346
1Y88,199
2VRS,633
3GXH,314
3QQZ,255
5A96,249
3L09,1064
3ON9,326
4FTF,112
2X5Y,173
3JY6,1104
3E6M,1288
2IAF,151
2QYW,102
4CP6,445
3DTZ,1220
4P0T,352
3BRU,444
1OA8,532
5DN7,293
4HTP,502
4RZL,464
3P8A,548
4X7R,986
3MQ0,550
2Q5C,392
3IEE,270
2COV,624
1WB4,594
2YV5,302
2PMA,292
3N0U,657
2B0V,153
3ZL8,437
4HG2,514
3BRC,312
5AON,265
1KMT,282
3ZHE,1630
1GM5,780
4YQD,266
3OLO,236
3BSO,510
3CKC,1054
3VMK,750
3WV4,884
2Q4U,272
1SZQ,966
1FCQ,350
1S4C,620
2CA6,772
2W5E,978
3TC8,618
2O6K,162
3OH3,641
3G8R,700
3GI7,244
2X3N,399
4I2O,486
4OUH,652
3OF4,627
1T07,94
3EZ0,900
3W56,131
3H9C,547
2V94,214
2II0,490
4LE7,536
3VLD,1000
3PKZ,1488
3GBV,608
3E8O,238
4XXX,275
3TCA,582
4LR4,1480
1YZY,826
2I4R,204
1N1C,434
4HBE,302
2GDQ,764
1ZY9,564
2OA5,220
3EEA,324
4TPV,364
3K1T,432
2ZE3,275
2WCW,556
1NKD,65
4CI8,1310
5C00,832
2I6H,414
3DK9,478
3U1U,274
4YWA,484
2B4H,508
3LED,784
3DXI,640
2C9Q,102
2OYO,392
1SH8,308
4A4K,1280
3MDN,1096
3K11,445
2PGE,377
2P17,277
3ELB,341
3WEU,1452
5AJO,588
3BEY,576
2W39,298
1R8I,213
3MX7,90
4CHK,1016
3CCY,203
3KG7,1172
3PM9,2856
3NGW,208
2ZFN,460
1N08,326
4V0P,213
3EDV,646
3HVW,176
3KDW,221
4BJ0,176
1UHV,2000
2P0S,286
4QPN,227
3VWN,392
3LOV,475
3DFZ,446
4FXI,285
3DME,738
2XJI,66
1ZYB,232
3OTN,964
2P65,187
4XHC,1086
2A6A,436
3Q18,478
1FJ2,464
3AXB,448
1X6Z,123
5C1F,620
2R4I,492
1EAQ,280
3F67,241
5CKL,188
5CVL,598
3C3V,510
2BJQ,345
2VQ2,225
2XMP,832
3LWJ,202
2GA1,212
4.00E+40,252
4D9B,1368
4NMW,259
4JGI,422
4APO,342
2ELC,1316
5BQ8,488
4QBU,444
3S79,503
4A01,1532
3K8U,156
4FYP,526
4HZ4,217
2IZ6,352
4OMB,1388
1R4X,275
2P35,518
4YBA,198
1V7Z,1560
4XSL,1200
3SD6,89
3RWX,261
3K8G,524
3ZF6,204
4B1M,555
4OLS,968
4CEM,740
1L7A,636
4RY1,822
5.00E+97,466
4FLA,608
4H41,1020
2RG4,432
4NJC,520
3GWJ,4044
5AO9,286
4X00,1132
2NR5,536
3A0O,1552
2H9A,755
1F9V,347
4BXH,1980
4U3Y,664
3HTU,472
3A6R,488
3CQN,370
3ZXU,1132
5FVF,900
4IA6,1182
4XJY,656
2CMG,524
1D0Q,206
4YTB,432
4WKA,377
2IL5,171
1UJ2,504
4P4Y,112
4QN1,420
4U0O,296
4QJV,706
1XEC,658
3SUU,525
4I1K,292
3NBX,500
2WYA,1840
3DN7,388
5EJU,231
4F06,371
2RL8,308
2V4X,140
3FAK,322
3EUR,142
1NUU,504
2W2S,202
3LFJ,374
2ZX2,390
3RPE,436
3M0M,1752
4QEK,301
3.00E+58,428
4HWC,534
3GW4,406
4OKR,556
4BLP,2148
4AUR,577
1UNK,348
2Q28,1128
3GDZ,436
3PE6,303
5IOF,1604
4YPO,666
5ANV,158
4Z7X,476
3DEE,249
3SX6,437
4FSD,383
4U7A,826
3AZO,1324
2P0A,688
2Y3M,350
3IFE,434
1UTG,70
5FMR,840
2V76,428
4NI6,150
1YQT,538
3EDO,302
5E6F,304
5EWP,504
2HD0,1536
1JH6,378
3RIP,677
5BR4,782
2W8T,427
3B6E,216
4U9N,356
3C18,870
3DJE,876
4GQB,1003
5CO8,928
2ZW5,602
1MK0,97
4ADM,1980
4MUD,940
1QFH,424
4PEO,212
1MUN,225
1PBW,432
5HL8,368
3CE8,120
3CT9,712
4CV7,113
1Q7L,572
3AYF,800
2Z0B,786
2XWS,133
4CBP,536
4A5N,524
3EYI,144
4A8J,1822
3EMX,270
3DUZ,487
3ORK,311
4YYC,525
3B0X,575
4M1H,1464
4NHB,682
2ZPA,1342
2BRY,994
4L0N,510
2CDU,904
4BYZ,194
4ZC3,68
1B9W,95
1YPY,368
3BY8,142
4J0W,343
3QVS,392
2V3M,786
2CIR,297
2EUI,612
4NDO,546
1MUW,386
1C0P,363
4YZE,804
4BI3,326
2P7I,500
1XEQ,206
2C4J,872
1WVF,520
4WWB,118
4GMQ,103
2BAS,862
3FP3,537
3SUM,544
3DKR,251
4CCF,3444
3G14,386
3RRW,536
2XQX,302
4.00E+15,606
4Z18,444
3P2E,450
4J0D,982
3OCJ,305
1VMH,144
4Q3L,2376
2GZV,114
3OUV,71
4WMY,612
1OLZ,1326
2IRP,416
3H5J,342
1EAJ,252
5CAG,318
3HGT,656
3EC3,500
3MCB,112
4R42,708
1DXG,72
4HIC,540
4YBR,402
3MBU,40
3NY5,384
4ZVC,252
1ZYO,191
3KF8,686
4YUD,92
4JNZ,602
2RH3,121
3O6C,260
1KVK,395
4U63,498
2WKJ,1212
4GY7,840
4S2X,161
1EU1,780
4E6Z,279
1J98,157
6RLX,104
1I12,640
3OYZ,433
3D00,191
4BQY,252
3GRL,651
1NHY,219
3P3D,132
2HBA,104
4HEO,128
4GMF,1488
3VCF,326
3IX0,376
2W0I,135
3NO2,276
1CID,177
2V84,343
2FCJ,357
5FJN,912
3S8R,1394
1T71,281
3KOG,256
2OU3,322
3OY2,826
4XY5,274
4P3X,305
3E7J,1498
4DBG,267
1Z94,882
2GMY,918
4BJZ,424
4MT8,204
4R29,896
5DCU,742
4ZJN,1278
3L00,182
3GP6,163
2GS5,198
2Q9K,151
2WKC,476
5IQJ,402
2VCH,480
3WDC,160
2BCM,495
4J4Z,167
4RO1,1528
2Z0R,1236
1YWF,296
2JLN,501
4RSC,1066
3OWG,970
3GXQ,108
2GWD,449
4I9O,101
3-May,808
3UEJ,130
1VJL,328
4GOU,518
1RMG,422
3WE2,294
3FD4,382
4C12,501
2EH3,179
2HWK,320
3WPC,1604
1VZM,135
2D1G,996
2O3I,810
4YEP,370
2HIY,732
3EI3,1541
4ACF,2916
4J8C,92
3E9F,121
4DOY,3496
2VYO,254
3RQ9,170
3MOI,387
1UCD,190
2IMH,462
3VG8,1160
2F23,312
4EVU,144
2YYK,481
4MEW,356
5I2H,728
2OZJ,228
4XFM,464
4GOQ,550
1SGW,214
4RZ9,179
4K1P,2880
4AQ4,419
3O4H,2328
3QM9,146
2ZOS,498
5CQS,1740
4GMU,612
3EB8,716
4CVQ,862
1GVE,654
1VR7,284
3BJA,139
3JV1,182
2HUH,147
5FGO,486
3F2Z,159
3H8D,756
2WZB,416
3FG8,708
3SNO,315
3NOW,810
1JTV,327
4BRC,736
3ZSU,130
2QJL,99
3BMA,2442
4HBZ,186
4ZRX,586
2IQI,1536
2GRC,129
3FHL,1448
4ZZZ,724
4P8I,520
4UC1,471
1KYF,253
5AIM,200
2PND,119
3AY5,360
3Q2U,205
4DJA,518
5EWY,200
1R30,738
3ME7,340
5D18,216
3KD3,438
3GFA,396
1TXG,670
3CM3,176
5BPD,1056
1U7Z,678
1N0U,842
3DEL,968
4XUW,184
3ESS,230
1YOZ,232
3GLA,200
2JHN,590
4CMR,1194
4UZG,292
1ED1,135
2FEX,564
3LZK,1436
4J33,830
4N75,770
3KGZ,312
2PLI,364
2EAB,1798
3G2M,598
3FC7,250
4JNH,398
2IMR,420
4IEJ,93
2P1M,754
4PQ0,242
3.00E+03,822
3LJM,93
3P06,194
2ZDP,220
1ZHS,904
4QQS,630
4BQN,624
1V5V,802
1C1D,710
2X0Q,618
3KLU,157
3LOD,162
3QHO,1374
4OV8,476
4RBR,278
2E1F,103
2R1I,344
1K3Y,442
1U14,172
3E3V,177
4R7R,128
3L39,227
4QE0,372
2YH6,448
3FZX,218
1HTW,474
2F2B,246
2WMY,1200
3IB5,348
3NSW,742
4MN5,256
3UEB,660
1O7Z,154
3CET,668
1H6D,5196
4LRJ,338
3AFO,776
2PRS,568
2ZTB,504
3TVA,580
3BFV,542
1V77,212
2GWM,200
3PG7,512
1XKR,206
2WAW,199
1OFD,3040
3LVU,1032
2XBU,442
4R9F,447
2WZK,391
3IAR,367
3B8O,2120
3GY9,150
2PC1,201
3S0R,60
5DZ2,676
2HFN,1530
4RK2,800
2P25,126
2A1V,144
3KVH,214
4Z0O,59
2O3O,3048
1U5U,748
3DSB,314
4LEB,307
1O8X,146
3N6T,205
4LIX,727
2FR5,584
5I0C,93
2F48,1110
4WIS,1470
1I60,278
2RKN,77
2J4Y,698
1NH1,330
4WU0,722
2OSX,481
1YVU,706
3V67,276
2WI8,311
4S3I,768
1SGM,382
3BBY,215
1SJW,144
4ZD6,1362
4ZV5,182
1IO0,185
1OE4,494
1KAF,648
4DO7,606
3C97,140
3U6U,538
4R2F,431
2YMV,330
4B87,367
3CHM,169
3GBG,276
4XNG,576
3QV0,227
1BYR,155
3HA9,165
3NRL,162
2RD9,772
2BX6,350
1EZ3,381
4QL0,554
1KZQ,578
4RUW,440
2OB9,260
1Q5Z,177
4GOF,104
3VCX,328
3QQA,216
3EVZ,230
3VEJ,82
2AZK,578
5AGR,232
4GQM,118
4I71,330
1NO1,378
2G0W,592
3CXG,266
1IRQ,142
4IKV,507
3QVL,490
3VEA,302
5CCF,486
1S1D,662
2CAS,548
2J85,244
4PSU,295
4MZY,494
4DV8,526
2R6J,636
3B0D,374
4NQ0,393
3I83,640
4FZQ,474
2OM6,470
2Y8Y,215
3W0T,748
3KU7,160
3E9U,162
3OKG,824
1TIG,94
3ZQO,1296
3PFE,472
3M1R,1932
4H4D,646
1PJU,492
2XF7,306
3D34,446
3V5U,320
4IX7,230
4R30,736
2X0D,826
3R3C,302
3D0T,352
3F6A,318
4RY8,1316
3B4U,588
4FXX,448
2V3A,384
3W0R,349
4UV2,4192
1Y43,212
2J97,109
3AIZ,988
2I15,405
3ZEU,1136
4CU5,510
3BBJ,544
4C1O,727
5BTY,138
4X9X,299
2FCW,189
3W0E,136
3S0A,119
3P9Z,229
3CL6,616
1KS8,433
2XIO,301
2X29,167
1Y66,208
1NUI,510
3RC3,677
2ETJ,250
1UJ8,77
2FBA,492
2O8L,274
4KQT,195
5F6R,350
2J5Y,122
3MCZ,704
2X46,144
3OND,976
2PIF,552
5AP6,313
2R75,338
3T9O,270
4MIY,1356
4O6K,576
4KA9,238
4R9P,242
2PST,74
2WVB,296
1O7J,1308
2IG8,432
5FCD,545
2AJ7,326
2GAK,782
2YLN,283
4JZP,136
1M0D,552
2WAD,2040
3BXJ,966
3OOV,338
4QA8,229
1VSG,728
3FDI,402
2GF4,200
1SX5,488
3CJM,282
2G7S,194
4YLA,382
1KLX,138
2NWR,534
1SUM,235
2C61,938
4W66,486
4KC3,468
4ZHJ,2702
4L8H,264
2CUL,232
4PP4,276
2Y3J,48
3IU6,147
4BUO,690
1JBE,128
2X65,672
2LIS,136
3FF1,892
1WUR,1100
1PG6,243
1A62,130
3G07,1752
3.00E+59,1320
3T5N,354
4OBM,259
1DI0,790
3OZP,572
2PD1,416
3N0A,361
4GLP,310
3LO8,311
3MQQ,240
3QTM,692
3ZUC,153
4WJI,293
2QAS,177
2A9S,342
3LYG,120
2NXO,1164
2HW2,143
1JR7,311
4MBS,828
3QXB,1264
4IUP,270
3WVT,189
4P29,462
2VF1,1050
2QLT,275
4IPU,548
4M5B,217
1B5E,492
3Q7C,243
3B7H,78
1YLE,342
1UEB,368
4E9X,1017
1TVG,153
2P4O,306
1TQJ,1380
3DO8,296
4JG5,355
2FP1,332
3MY2,175
1WWI,148
3D1P,139
1KOH,1108
1UI5,430
3UT4,268
3LXZ,916
1XO1,582
2QKO,860
4NFA,207
2QCU,1002
3DX5,286
2.00E+56,144
3WRB,836
2PBL,1048
2W31,324
1QCS,211
2R18,139
3KM5,360
4EYT,774
3CSX,162
3MCR,213
4C4A,692
1JCD,156
4RGI,73
3GIA,444
3GOZ,362
2VSW,306
3E4V,372
4FMR,1060
4X3X,90
3HRQ,714
1NUY,337
4NF0,2712
4MZ3,258
4TT0,276
3BHO,208
3PLU,224
1ZCE,155
3V3T,360
1I3J,116
2YWW,298
2XCJ,198
2P4F,299
2J69,2780
1QAM,244
1GS5,258
2CE2,166
2JII,704
2FDO,188
3UMH,211
1XK7,1224
3GE3,1014
4FZ2,790
4HKG,176
3QH9,81
4Q94,312
2XEU,64
1WCV,257
2XM5,327
4NQJ,537
2R6V,191
5E9N,527
3KW0,856
1ITH,282
2Y7E,564
4F0Q,1824
5EHK,2230
3I2N,357
1JB3,131
2HHZ,150
4LHD,1966
2OCG,254
2QT1,207
4DT4,169
4AO9,908
2YFA,516
2C71,216
2CXI,1044
4EZG,394
2R7G,724
3BQ9,920
2MPR,1281
3ODT,626
3CU2,474
1U2M,429
3CVJ,972
3PMO,372
3ND1,550
3BWV,360
2DG1,1998
3LD1,359
4NK6,491
2WB6,130
3KLK,1039
3NRF,212
4PY3,2410
4FS7,394
2YN7,450
2Y1B,128
3I1A,678
5FRU,422
3P01,552
2I7H,1134
5A35,120
4KDD,185
2CIB,455
2VBK,514
1RY9,580
4E1S,242
3NO6,992
2E7S,2700
3O6Q,426
4CU2,80
4QAS,402
4WUV,614
2QQY,149
1SQ9,397
4DO4,800
4KWA,390
3C8Z,828
1ZPS,276
2R4G,267
4D7C,570
4EDP,702
3VK6,101
4WPE,306
3OG6,422
4INA,810
3G27,96
3C6F,612
3UUD,528
4UVM,524
2W1V,552
5C9F,556
3QYF,648
3DHU,1796
2W7A,200
4OU9,1960
5DTZ,1048
5A12,1210
3PET,442
1SNY,267
4FLB,144
3G89,498
3IJL,676
3NBM,108
2VE8,584
4DJK,1022
4E8U,344
4KQD,484
1LRZ,426
2VSG,716
2PKH,1184
1S5U,1104
2NS9,314
2E6F,628
4QT6,159
3BS0,878
2FIQ,1680
2RBD,342
4Z48,492
5C50,392
4OPW,482
5I8T,179
4NV0,638
3JV9,438
4KP1,445
3C7M,390
1PUJ,282
1YAD,884
1PBJ,125
1TFE,145
4WPY,94
1TUV,114
3BGU,232
4MYP,244
1YKH,240
1DOW,237
4USK,692
4CJ7,864
5A0J,342
4R78,309
3V46,170
4HC9,115
5AN6,369
4OGG,1164
3LFU,647
5HZL,303
4DQZ,460
3U8V,186
3FYM,130
2X5X,342
2NUJ,326
2B0C,206
2PV7,596
1D2O,374
4JOX,123
4XTB,123
1V74,194
3VN0,204
2Z08,137
2RC3,540
4JF8,179
2IVY,101
3EK3,190
4ONR,166
3FED,707
4R7A,440
2J6B,109
4ZIU,639
2RBK,261
3G5B,405
4PXY,500
3BDU,434
2BTI,126
4ZIN,657
4WJT,334
3IMK,158
2OEE,234
2ZQ0,1476
3K6E,312
2IT9,508
4KJM,258
5BYK,259
4NCB,1370
4Y7L,480
4CID,550
5AFD,300
1SRA,151
1LQ9,224
1RGX,342
1EHY,1176
5CX6,1410
3DEW,206
4XB6,1958
1NZJ,298
4O65,166
4K1C,842
2ORY,692
1SE8,301
2YG2,344
5BVA,409
3MQD,428
3SHS,304
1V2Z,111
1MK4,314
2XET,178
2HA9,892
4V1T,1678
2FAO,618
2D8D,180
4XU4,210
3LUR,474
4Q25,500
4CL7,376
4KG3,438
1GU4,156
3D1R,337
3VOT,850
3FFY,115
4FGQ,386
1VKY,694
1SBY,508
3FM2,270
4JB3,228
3DJL,541
4BPF,86
3M8J,222
2REE,448
3R4K,1040
4OUS,143
3IO0,230
3ODM,4480
3CRJ,796
1NXU,666
4DOO,410
2HBO,158
3LYQ,384
2ITB,412
2ZK9,185
1PVG,836
2QQ8,334
1Z21,112
4MAQ,480
4DOI,492
3RFA,808
5D2E,522
1Y96,342
4NN2,258
2HF9,452
4IO2,496
1W4X,542
5AMH,125
3VA9,164
3BF7,510
1HYN,1516
1OIS,223
4ZBO,1060
4B9W,428
2CFA,434
2ICY,938
4MV4,468
3B4S,752
2AO9,1395
2GQW,408
4TPS,478
4N2K,690
3WMV,306
2IFU,1228
2O4T,100
2DBY,368
3LI9,291
4A2B,419
4PKF,1019
4BND,506
2F42,179
2I9W,184
1BRT,277
3DRF,598
1PD3,116
1GAK,141
5CPS,1128
5HXA,483
4WQD,252
4EGV,3120
1WLU,136
1W0P,781
1KXU,333
2DM9,396
4H3T,543
3CJD,396
3K26,378
3U23,82
2IQY,190
2IAB,310
3BZ6,183
2DI4,476
3EUL,608
2HPS,186
1Y8A,332
3E0Z,436
1USE,45
3ISA,1524
1N57,291
4XHF,1040
2H1V,310
2HLJ,157
1IUQ,367
1BG6,359
2GU9,226
4LWS,238
5DPO,119
3G9H,328
4UWM,756
2F6E,127
1SF8,1008
3VU4,710
4MU3,205
4ZK1,2180
3FD3,208
4W9R,796
1Y9K,628
3EN0,873
3WCO,784
2W82,660
3ORY,363
3MKH,1752
3VJF,204
2C1V,676
1RL6,177
4V1K,138
3BUT,136
2YQY,338
4R2Y,272
4OAQ,734
1V4P,471
1KJN,314
2W40,2012
1XIP,388
3LKE,789
3O0L,224
2A1K,466
1A7J,290
2QIB,462
2HD9,145
3LHN,252
5CIY,327
4UM2,589
4YHV,148
2WTM,1004
4WH5,324
4Z8Z,323
3MW6,864
1SFK,608
3VSJ,1166
4RXL,234
4X2P,383
3ITQ,432
1RK6,496
1TS9,102
4G2A,322
1TU9,134
4ZE8,1996
2B0T,738
2QAE,936
1LFO,128
3VBC,162
2QKD,404
3FUC,852
2WE8,772
4BLU,578
3Q20,252
1B25,2476
2YVR,100
3QNQ,1768
1KA1,357
3VS8,3280
3RF3,574
3FK8,133
2ILR,264
1EVS,187
1TBG,1632
4FC5,1620
1D4A,1092
3WJT,178
2FXA,828
2GVI,204
1BTK,338
4AZS,569
4K92,546
5D9R,184
3ETZ,238
3K93,223
2RKH,180
3WWL,54
4O0A,123
1JF3,147
1JOF,2920
5DOK,408
4DOX,452
1GXU,91
4B4Y,154
1WWC,118
4P17,626
4EIY,447
2J2J,1182
4FYE,761
4J4A,324
3ERW,1015
4Y0B,368
1RXQ,712
3VP5,189
3JZL,818
4GS3,107
1B5Q,1416
2YVS,438
1RCW,693
3FFL,668
3MNL,406
4G08,159
2Q4H,702
3FMC,1472
3ZC4,1476
3PLN,424
2IQT,296
2CI1,275
5FN7,372
2JK9,227
4L1J,408
3R9F,376
